Wall time,Step,Value
1549618613,973,0.783922374
1549618616,974,0.779250443
1549618625,978,0.763761222
1549618628,979,0.750117123
1549618631,980,0.738180995
1549618633,981,0.720884502
1549618643,985,0.73688525
1549618646,986,0.744568229
1549618653,989,0.757969022
1549618655,990,0.761251032
1549618675,998,0.744644403
1549618691,1002,0.724011064
1549618696,1004,0.696454585
1549618701,1006,0.715162694
1549618703,1007,0.721910298
1549618723,1014,0.727708757
1549618726,1015,0.723997116
1549618728,1016,0.723013341
1549618735,1019,0.702461004
1549618755,1027,0.745970011
1549618760,1029,0.734753728
1549618769,1033,0.746321738
1549618772,1034,0.734055936
1549618779,1037,0.759862006
1549618784,1039,0.749459088
1549618801,1046,0.708792388
1549618828,1057,0.693361759
1549618833,1059,0.691950917
1549618848,1065,0.673788548
1549618851,1066,0.665346801
1549618856,1068,0.66944629
1549618860,1070,0.690267205
1549618870,1074,0.687740803
1549618880,1078,0.695836902
1549618884,1080,0.692956567
1549618896,1085,0.715007365
1549618899,1086,0.728333056
1549618902,1087,0.728979409
1549618922,1095,0.720846355
1549618937,1101,0.686364412
1549618948,1105,0.714442909
1549618950,1106,0.693059146
1549618953,1107,0.68354857
1549618975,1116,0.698946774
1549618980,1118,0.673839271
1549618987,1121,0.879656315
1549619002,1127,0.744871438
1549619005,1128,0.727125168
1549619023,1135,0.73273313
1549619028,1137,0.706625044
1549619099,1157,0.633549392
1549619101,1158,0.638751686
1549619103,1159,0.649645984
1549619110,1162,0.664850473
1549619113,1163,0.694888532
1549619115,1164,0.695091844
1549619161,1182,0.656720579
1549619168,1185,0.649959087
1549619173,1187,0.631045043
1549619190,1194,0.608897507
1549619192,1195,0.598439395
1549619202,1199,0.612232506
1549619207,1201,0.5937922
1549619212,1203,0.608835995
1549619224,1208,0.616482615
1549619229,1210,0.606021345
1549619233,1212,0.588917673
1549619244,1216,0.585281253
1549619268,1226,0.635752022
1549619288,1234,0.593301117
1549619290,1235,0.601214349
1549619293,1236,0.593296766
1549619298,1238,0.585775495
1549619305,1241,0.587333143
1549619317,1246,0.574055493
1549619324,1249,0.573154151
1549619339,1255,0.577911854
1549619346,1257,0.57319659
1549619351,1259,0.551987708
1549619353,1260,0.552395463
1549619361,1263,0.557047069
1549619365,1265,0.57108438
1549619373,1268,0.596960783
1549619392,1276,0.559684515
1549619411,1283,0.575817883
1549619425,1289,0.581179619
1549619435,1293,0.615309179
1549619437,1294,0.60966152
1549619440,1295,0.627333283
1549619442,1296,0.625589788
1549619456,1302,0.595739543
1549619463,1305,0.565536678
1549619480,1312,0.534142256
1549619485,1314,0.700885415
1549619493,1317,0.671601176
1549619495,1318,0.659054875
1549619504,1321,0.607864976
1549619518,1327,0.572292686
1549619523,1329,0.55389905
1549619530,1332,0.547665715
1549619538,1335,0.544499874
1549619540,1336,0.534538448
1549619545,1338,0.51856035
1549619547,1339,0.515446365
1549619583,1345,0.512199461
1549619613,1357,0.558279037
1549619643,1368,0.531537414
1549619653,1372,0.509886563
1549619670,1379,0.540970325
1549619675,1381,0.537206709
1549619688,1386,0.533701539
1549619690,1387,0.533726573
1549619698,1390,0.516620636
1549619700,1391,0.532171488
1549619707,1393,0.515124083
1549619710,1394,0.528594971
1549619717,1397,0.534508348
1549619760,1414,0.478182852
1549619762,1415,0.470427603
1549619765,1416,0.471866697
1549619777,1421,0.480858415
1549619784,1424,0.469775081
1549619794,1428,0.455686837
1549619796,1429,0.450390577
1549619799,1430,0.465037882
1549619809,1434,0.467145741
1549619812,1435,0.455043107
1549619820,1438,0.459244937
1549619829,1442,0.474766821
1549619834,1444,0.483784378
1549619865,1457,0.485302269
1549619868,1458,0.481301904
1549619889,1467,0.492419511
1549619892,1468,0.473870605
1549619919,1479,0.436163992
1549619947,1487,0.430584908
1549619956,1488,0.429217041
